"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Validar que consultarUltimoPagamento retorna apenas o último pagamento","webkit","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","1","Validar que pagamento com valor igual ou abaixo de 100.00 recebe categoria ""padrão""","firefox","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","1","Validar que pagamento com valor igual ou abaixo de 100.00 recebe categoria ""padrão""","chromium","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","1","Validar que pagamento com valor acima de 100.00 recebe categoria ""cara""","firefox","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","3","Validar que consultarUltimoPagamento retorna apenas o último pagamento","firefox","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","7","Validar que o pagamento é adicionado na lista de pagamentos","firefox","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","7","Validar que o pagamento é adicionado na lista de pagamentos","chromium","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","1","Validar que pagamento com valor acima de 100.00 recebe categoria ""cara""","chromium","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","1","Validar que pagamento com valor igual ou abaixo de 100.00 recebe categoria ""padrão""","webkit","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","1","Validar que pagamento com valor acima de 100.00 recebe categoria ""cara""","webkit","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","7","Validar que o pagamento é adicionado na lista de pagamentos","webkit","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
"","3","Validar que consultarUltimoPagamento retorna apenas o último pagamento","chromium","2026-07-06","passed","2026-07-06","Classe de Serviço de Pagamento","servicoDePagamento.test.js","",""
